Times University,Top University
"University of Oxford","University of Oxford"
"California Institute of Technology caltech","California Institute of Technology (Caltech)"
"Massachusetts Institute of Technology","Massachusetts Institute of Technology (MIT)"
"Princeton University","Princeton University"
"University of Chicago","University of Chicago"
"ETH Zurich – Swiss Federal Institute of Technology Zurich","NaN"
"University of Pennsylvania","University of Pennsylvania"
"Johns Hopkins University","Johns Hopkins University"
"'University of California, Los Angeles'","NaN"
"University College London ucl","UCL (University College London)"
"'University of California, Berkeley'","NaN"
"Northwestern University","Northwestern University"
"National University of Singapore nus","National University of Singapore (NUS)"
"Carnegie Mellon University","Carnegie Mellon University"
"California Institute of Technology caltech","California Institute of Technology (Caltech)"
"University of Washington","University of Washington"
"New York University","New York University (NYU)"
"Tsinghua University Qinghua University Tsing hua University Qing hua University","NaN"
"'University of California, San Diego'","NaN"
"Georgia Institute of Technology","Georgia Institute of Technology"
"LMU Munich Ludwig-Maximilians-Universität München","NaN"
"King’s College London","NaN"
"École Polytechnique Fédérale de Lausanne","NaN"
"University of Hong Kong HKU hku The University of Hong Kong","NaN"
"Technical University of Munich","Technical University of Munich"
"University of Wisconsin-Madison","University of Wisconsin-Madison"
"Hong Kong University of Science and Technology hkust Hong Kong University of Science and Technology","NaN"
"Heidelberg University","NaN"
"Australian National University anu","NaN"
"Brown University","Brown University"
"'Nanyang Technological University, Singapore  NTU Nan yang'","NaN"
"'University of California, Santa Barbara'","NaN"
"'University of California, Davis'","NaN"
"University of Minnesota","University of Minnesota"
"University of North Carolina at Chapel Hill","NaN"
"Chinese University of Hong Kong","The Chinese University of Hong Kong (CUHK)"
"Purdue University","Purdue University"
"Humboldt University of Berlin","NaN"
"Wageningen University & Research","NaN"
"University of Southern California","University of Southern California"
"Utrecht University utrecht  utrecht university","Utrecht University"
"'University of Maryland, College Park'","NaN"
"Ohio State University","The Ohio State University"
"Paris Sciences et Lettres – PSL Research University Paris","NaN"
"Kyoto University","Kyoto University"
"University of Bristol","University of Bristol"
"McMaster University","McMaster University"
